topic	name	meaning	example
	protocol	agreement on the shape and meaning of information sent and received	like flags on a ship, like which language to speak
	HTTP	THe web protocol (HyperText Transport Protocal)	scheme in the url e.g HTTPS://
	REST	REpresentational State Transfer - technique of using meaningful URLs and HTTP verbs	POST, GET, PATCH, DELETE; Using HTTP Verbs and URLs MEANINGFULY
	HTTP VERBS	CRUD: GET/POST/PUT/DELETE and also others like PATCH	Create, Read, Update, Delete
	SQL 	Language for databases. Structured Query Language.	Insert, Select, Update, Delete
	endpoint/resource	URL/URI path to the data we want to use	/api/v1/products/
	api-key	a personal id "number"	
	throttle	rate-limit accesses per day for a given api-key	
	XML	store complext hierarchical data in a string or file  eXtensible Markup Language - Data <><></></>	validated  - looks like graphics, SVG, XHTML, SGML
	JSON	store complext hierarchical data in a string or file [{"":""}]	also validated? looks like code
	XMLHttpRequest()	background http requests for javascript old school - used call back functions instad of async	
	fetch()	modern background requests for javascript	
	async	many things all at the same time (parallel)	
	promise	a delayed or deferred response to support asynchronous(parallel rather than single threaded)	
	await	a way to turn off async so promises don't make us crazy	
			
USER	HTTP METHODS/VERBS	DATABASE SQL 	
Create	POST	INSERT	
Read	GET	SELECT	
Update	PUT	UPDATE	
Delete	DELETE	DELETE	
			
	flag	A boolean (true/false) option that is turned on by the presense/existense of it. -a -l or readonly in html attributes	
			
Databases	Database	Both a place to store structured data on disk efficiently and a way to search and filter that data quickly to provide answers.	
Databases	RDBMS	Relational Database Management System	mysql, oracle, ibm db2, microsoft sql server
Databases	NO-SQL	Any database that is not "relational"	mongodb
SQL	Relation	The association between two tables e.g. Customers and Orders	
SQL	Table	The fundamental unit of information in a database. A type or category, or class of information.	Customers
SQL	query	test/string of sql code we send to the database to get a record set response.	
SQL	SELECT	which fields to calculate or display	
SQL	FROM tablename	which table to draw information from	
SQL	WHERE	filter records to be included by field value	
SQL	JOIN	add associated secondary table to draw fields from	
SQL	ON	how to associate one table with another using their foreign keys	
SQL	DDL	Data Decription Language for defining Schemas	
SQL	schema	A database. A collection of tables that together form the structure for 	
SQL	GROUP BY	combines input records into aggregates such as SUM() AVG() COUNT()	
SQL	HAVING	filters by output aggregate function e.g. SUM() AVG() COUNT()	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
